tag,ua,en,ru
language_key,Ukrainian,English,Russian
tag_hyperlink, тут , here , тут 
init_h1,Estonia for Ukraine,Estonia for Ukraine,Estonia for Ukraine
init_p1,"На цьому сайті ви можете знайти інформацію про те, як отримати допомогу, якщо ви евакуювалися або плануєте евакуюватися з України, також якщо вас депортували в Росію, а також якщо ви знаходитесь в Естонії та хочете допомогти.",This website contains information on how to get help if you evacuated or planning the evacuation from Ukraine or if you were deported to Russia. Also it gives instructions and contacts if you are located in Estonia and willing to help.,"Этот сайт содержит информацию о том, как получить помощь, если вы эвакуировались или планируете эвакуацию из Украины и если вас депортировали в Россию. А также он дает инструкции и контакты, если вы находитесь в Эстонии и готовы помочь."
init_p2,Останнє оновлення: ,Last update: ,Последнее обновление: 
acc_estoniaForUkraine_h1,Що пропонує Естонія для біженців?,What does Estonia provide for Ukrainian refugees?  ,Что Эстония предоставляет украинским беженцам?
acc_estoniaForUkraine_h2_1,"Уряд Естонії наразі пропонує наступну допомогу українцям, залишаючим територію України:",Estonian government is supporting Ukrainian refugees. The list of provided help if you are leaving the territory of Ukraine:  ,Правительство Эстонии поддерживает украинских беженцев. Перечень предоставляемой помощи при выезде с территории Украины:
acc_estoniaForUkraine_p1_0,- Більшість ініціатив зібрані офіційному сайті міста Таллінн,- Most of the initiatives have been collected on the official Tallinn city website,- Большинство инициатив собраны на офиальном сайте города Таллинн
acc_estoniaForUkraine_p1_0_link,https://www.tallinn.ee/rus/ukraina/,,
acc_estoniaForUkraine_p1_2,"- Надає безкоштовне житло в Естонії на один місяць, з харчуванням. ","- Provides free housing in Estonia for one month, with meals.",- Предоставляет БЕСПЛАТНОЕ временное проживание в Эстонии.  
acc_estoniaForUkraine_p1_3,"- Волонтери організвали видачу одягу для дітей і речей першої необохідності по адресу Tallinn, Kopli 70A. Деталі на сайті dushkacosmetics.com","- Volunteers organized the distribution of children's clothing and essentials at Tallinn, Kopli 70A. Details on the website dushkacosmetics.com","- Волонтеры организовали выдачу одежды для детей и вещей первой необходимости по адресу Tallinn, Kopli 70A. Подробности на сайте dushkacosmetics.com"
acc_estoniaForUkraine_p1_3_link,https://dushkacosmetics.com/ru/news/dushka-avas-pohja-tallinnas-kogumispunkti-ukraina-toetuseks/data,,
acc_estoniaForUkraine_p1_4,- Допомагає з пошуком роботи. Інформація зібрана нами,"- Helps with job search, all info is collected by us",- Помогает с поиском работы. Информация собрана нами
acc_estoniaForUkraine_p1_4_link,https://docs.google.com/document/d/1dPs1SQc1KKiQTf8bkX0zEuV1ZilltTu_fmcyYbE8hao/edit?fbclid=IwAR3AkpWSh2CMDhHCWEZNPqCl6DLU3OkSMll3zNIKAjT57iLgOea-0jEUpJA,,
acc_estoniaForUkraine_p1_5,- Допомагає з влаштуванням дітей у садочки та школи. Інформація ,- Helps with finding kindergarten and schools. Information,- Помогает найти детский сад и школу. Информация
acc_estoniaForUkraine__p1_5_link,https://www.hm.ee/et/tegevused/ukrainast-saabunud-laps-ja-noor-eestis/ditina-ta-molod-yaki-pribuli-v-estoniyu-z-ukrayini?fbclid=IwAR3vg3nC8j_AG5ClX7wnOorzLGtNPBUSO1zkafFhMFGzCN_LihEwXh420vY,,
acc_estoniaForUkraine_p1_6,- Вирішує медичні питання у міру їх виникнення.,- Assisting in solving medical questions.,- Помощь в решении медицинских вопросов.
acc_estoniaForUkraine_p1_7,"- У розташованому в районі Ласнам'яе за адресою вул. Пунане, 50 Центрі повторного використання сьогодні запустили систему безкоштовного розподілу одягу та товарів першої потреби військовим біженцям з України. Військові біженці можуть отримати одяг на підставі документа, що засвідчує особу, і Єдиної карти, яку потрібно піднести до спеціального пристрою на касі. Більше інформіції на сайті uuskasutus.ee","- Located in Lasnamäe district at ul. Punane, 50 Reuse Center today launched a system of free distribution of clothing and essential goods to military refugees from Ukraine. War refugees can get clothes on the basis of an identity document and a Unified Card, which must be brought to a special device at the checkout. More information on uuskasutus.ee website","- В расположенном в районе Ласнамяэ по адресу ул. Пунане, 50 Центре повторного использования сегодня запустили систему бесплатного распределения одежды и товаров первой необходимости военным беженцам из Украины. Военные беженцы могут получить одежду на основании удостоверяющего личность документа и Единой карты, которую нужно поднести к специальному устройству на кассе. Больше информации на uuskasutus.ee вебсайте"
acc_estoniaForUkraine_p1_7_link,https://uuskasutus.ee/ru/uudis/kauplus-pogenikele-rus/,,
acc_estoniaForUkraine_p1_8,- Проїзд у громадському транспорті буде безкоштовним за посвідченням біженця з України.,- Public transport will be free of cost with a refugee certificate.,- Общественный транспорт будет бесплатным при наличии удостоверения беженца.
acc_estoniaForUkraine_p1_9,- У банку SEB можна безкоштовно відкрити банківський рахунок ,- There is a possibility to open SEB bank account free of charge ,- Есть возможность бесплатно открыть банковский счет в SEB 
acc_estoniaForUkraine_p1_9_link,https://www.seb.lt/en/seb-open-free-accounts-ukrainians-fleeing-war,,
acc_estoniaForUkraine_p1_10,- Безкоштовна гаряча лінія правової допомоги працює у робочі дні з 9:00 до 18:00: +38 (097) 840 39 36 (дзвінок та Telegram).,- The free legal help hotline is  open on weekdays from 9:00 to 18:00: +38 (097) 840 39 36 (phone call and Telegram)  ,"- Горячая линия бесплатной юридической помощи работает по будням с 9:00 до 18:00: +38 (097) 840 39 36 (звонок, Telegram)."
acc_estoniaForUkraine_p1_11,"- Естонська академія мистецтв (EKA) пропонує українським студентам можливість безкоштовного навчання на чотирьох факультетах образотворчого мистецтва, дизайну, архітектури та художньої культури, поки ситуація в їхній країні не стабілізується. Деталі","- The Estonian Academy of Arts (EKA) offers Ukrainian students the opportunity to study for free at their four faculties of fine arts, design, architecture and art culture until the situation in their country stabilizes. Details","- Эстонская академия художеств (ЭКА) предлагает украинским студентам возможность бесплатно учиться на своих четырех факультетах изобразительного искусства, дизайна, архитектуры и художественной культуры, пока ситуация в их стране не стабилизируется. Больше"
acc_estoniaForUkraine_p1_11_link,https://www.artun.ee/en/eka-offers-study-spots-for-ukrainian-art-students-2/,,
,,,
acc_estoniaForUkraine_p1_13,"- Безкоштовну психологічну допомогу онлайн і на місці: щоб отримати, напишіть на емейл psychelp.est@gmail.com та розкажіть про себе та яка допомога вам потрібна. З вами зв’яжуться протягом доби. Також можна залишити заявку
","- Free psychological help online and on site: to receive, write to psychelp.est@gmail.com and tell about yourself and what help you need. You will be contacted within 24 hours. You can also leave a request","- Бесплатная психологическая помощь онлайн и на месте: чтобы получить, напишите на емейл psychelp.est@gmail.com и расскажите о себе и какая помощь вам нужна. С вами свяжутся в течение суток. Также можно оставить заявку"
acc_estoniaForUkraine_p1_13_link,https://tellme.com.ua/ ,,
acc_estoniaForUkraine_p1_14,- Сайт з багатьма безкоштовними заходами Естонії pollianna.ee,- Website with many free events in Estonia pollianna.ee,- Сайт с множеством бесплатных мероприятий Эстонии pollianna.ee 
acc_estoniaForUkraine_p1_14_link,https://pollianna.ee/,,
acc_evacuation_h1,Я евакуйовуюсь і мене потрібно забрати в Естонію,I am evacuating and I need a transportation from Ukrainian border  ,Я эвакуируюсь и мне нужен транспорт от украинской границы
acc_evacuation_p1_1,- Якщо у вас є вже існуючі зв’язки з Естонією і ви хочете потрапити в Естонію - загальна інформація про евакуацію: 1247 (24/7),"- If you already have connections with Estonia and want to enter Estonia, general information about the evacuation: 1247 (24/7)",- Если у вас есть уже существующие связи с Эстонией и вы хотите попасть в Эстонию – общая информация об эвакуации: 1247 (24/7)
